model,decile,clients,uplift,low,high,n_treatment,n_control
S-Learner (LRS),1,13741,0.0011563986898098094,-0.010647032710781087,0.012959830090400706,10275,3466
S-Learner (LRS),2,13741,0.003800494457766923,-0.008015674534378348,0.015616663449912194,10361,3380
S-Learner (LRS),3,13741,0.005393621698023959,-0.0066560661428068865,0.017443309538854805,10332,3409
S-Learner (LRS),4,13741,0.005852748448231165,-0.006015767888875012,0.017721264785337344,10305,3436
S-Learner (LRS),5,13741,0.013223586735987655,0.0015734534330964379,0.024873720038878874,10310,3431
S-Learner (LRS),6,13741,0.004773011205587804,-0.007098154305155802,0.01664417671633141,10208,3533
S-Learner (LRS),7,13740,0.00496358240091746,-0.007068679233636839,0.01699584403547176,10337,3403
S-Learner (LRS),8,13740,0.010427650366855584,-0.0012955986944417006,0.02215089942815287,10368,3372
S-Learner (LRS),9,13740,0.014741617976173974,0.0032336613678906802,0.026249574584457265,10341,3399
S-Learner (LRS),10,13740,0.011394589898912177,-0.0004961073248123549,0.023285287122636708,10342,3398
T-Learner,1,13741,0.01086302122869931,-0.00632341780796266,0.02804946026536128,10419,3322
T-Learner,2,13741,0.010187240613840381,-0.003474539657039517,0.02384902088472028,10361,3380
T-Learner,3,13741,0.011310596688635904,0.0004066243785733805,0.022214568998698427,10330,3411
T-Learner,4,13741,0.0014057354183656945,-0.008032885120164363,0.010844355956895752,10242,3499
T-Learner,5,13741,0.004648888941669191,-0.003919879062771215,0.013217656946109596,10311,3430
T-Learner,6,13741,0.00042657318499625396,-0.007503751455250594,0.008356897825243102,10242,3499
T-Learner,7,13740,0.00564786372937269,-0.0018279291257526963,0.013123656584498076,10323,3417
T-Learner,8,13740,0.0038743978876745744,-0.005244206375335177,0.012993002150684326,10318,3422
T-Learner,9,13740,0.007107352511189574,-0.003486141525521966,0.017700846547901113,10280,3460
T-Learner,10,13740,0.008432193010981609,-0.00748103466589195,0.024345420687855168,10353,3387
X-Learner (XGBoost),1,13741,0.006125037408616085,-0.010978497358169897,0.023228572175402067,10451,3290
X-Learner (XGBoost),2,13741,0.011123151207173776,-0.0028693635881407095,0.02511566600248826,10370,3371
X-Learner (XGBoost),3,13741,0.015513588072573997,0.0037763042328154053,0.027250871912332587,10258,3483
X-Learner (XGBoost),4,13741,0.00838100687148037,-0.0017764594899142144,0.018538473232874955,10328,3413
X-Learner (XGBoost),5,13741,0.001950127958850717,-0.006464933173948964,0.010365189091650398,10212,3529
X-Learner (XGBoost),6,13741,0.00024081114768825795,-0.007305737058674906,0.007787359354051422,10253,3488
X-Learner (XGBoost),7,13740,0.004652850912756287,-0.001776097012247617,0.011081798837760191,10262,3478
X-Learner (XGBoost),8,13740,0.0031250468992871303,-0.003759847392433662,0.010009941191007923,10365,3375
X-Learner (XGBoost),9,13740,0.0017316295798778109,-0.008006654186759865,0.011469913346515486,10262,3478
X-Learner (XGBoost),10,13740,0.0035182588741825838,-0.013277503774013297,0.020314021522378465,10418,3322
Uplift Random Forest,1,13741,0.012954492433943698,-0.003797450143044199,0.029706435010931596,10218,3523
Uplift Random Forest,2,13741,0.012076108056748316,0.0020853097626858472,0.022066906350810787,9833,3908
Uplift Random Forest,3,13741,0.0032126449732600565,-0.006172792390983483,0.012598082337503596,10174,3567
Uplift Random Forest,4,13741,0.0034389453900803765,-0.005517164400671728,0.012395055180832481,10348,3393
Uplift Random Forest,5,13741,0.002593046334803048,-0.0064620477934786685,0.011648140463084765,10412,3329
Uplift Random Forest,6,13741,0.007862970283236542,-0.002006766666318093,0.017732707232791176,10441,3300
Uplift Random Forest,7,13740,-0.0032923103334005638,-0.013848912217407187,0.00726429155060606,10521,3219
Uplift Random Forest,8,13740,0.010338850930563456,-0.0006923148520299981,0.02137001671315691,10406,3334
Uplift Random Forest,9,13740,0.010235776122995241,-0.0023315675678644635,0.022803119813854945,10348,3392
Uplift Random Forest,10,13740,0.016946487627751528,0.0019631843610036677,0.03192979089449939,10478,3262
