,dtype,missing_count,missing_share
age,float64,11765,0.0171244590839688
cheque_count_12m_g20,float64,0,0.0
cheque_count_12m_g21,float64,0,0.0
cheque_count_12m_g25,float64,0,0.0
cheque_count_12m_g32,float64,0,0.0
cheque_count_12m_g33,float64,0,0.0
cheque_count_12m_g38,float64,0,0.0
cheque_count_12m_g39,float64,0,0.0
cheque_count_12m_g41,float64,0,0.0
cheque_count_12m_g42,float64,0,0.0
cheque_count_12m_g45,float64,0,0.0
cheque_count_12m_g46,float64,0,0.0
cheque_count_12m_g48,float64,0,0.0
cheque_count_12m_g52,float64,0,0.0
cheque_count_12m_g56,float64,0,0.0
cheque_count_12m_g57,float64,0,0.0
cheque_count_12m_g58,float64,0,0.0
cheque_count_12m_g79,float64,0,0.0
cheque_count_3m_g20,float64,94064,0.1369141622842704
cheque_count_3m_g21,float64,94064,0.1369141622842704
cheque_count_3m_g25,float64,94064,0.1369141622842704
cheque_count_3m_g42,float64,94064,0.1369141622842704
cheque_count_3m_g45,float64,94064,0.1369141622842704
cheque_count_3m_g52,float64,94064,0.1369141622842704
cheque_count_3m_g56,float64,94064,0.1369141622842704
cheque_count_3m_g57,float64,94064,0.1369141622842704
cheque_count_3m_g79,float64,94064,0.1369141622842704
cheque_count_6m_g20,float64,3115,0.00453401530357525
cheque_count_6m_g21,float64,3115,0.00453401530357525
cheque_count_6m_g25,float64,3115,0.00453401530357525
cheque_count_6m_g32,float64,3115,0.00453401530357525
cheque_count_6m_g33,float64,3115,0.00453401530357525
cheque_count_6m_g38,float64,3115,0.00453401530357525
cheque_count_6m_g39,float64,3115,0.00453401530357525
cheque_count_6m_g40,float64,3115,0.00453401530357525
cheque_count_6m_g41,float64,3115,0.00453401530357525
cheque_count_6m_g42,float64,3115,0.00453401530357525
cheque_count_6m_g45,float64,3115,0.00453401530357525
cheque_count_6m_g46,float64,3115,0.00453401530357525
cheque_count_6m_g48,float64,3115,0.00453401530357525
cheque_count_6m_g52,float64,3115,0.00453401530357525
cheque_count_6m_g56,float64,3115,0.00453401530357525
cheque_count_6m_g57,float64,3115,0.00453401530357525
cheque_count_6m_g58,float64,3115,0.00453401530357525
cheque_count_6m_g79,float64,3115,0.00453401530357525
children,float64,8581,0.012490011338677116
crazy_purchases_cheque_count_12m,float64,0,0.0
crazy_purchases_cheque_count_1m,float64,0,0.0
crazy_purchases_cheque_count_3m,float64,0,0.0
crazy_purchases_cheque_count_6m,float64,0,0.0
crazy_purchases_goods_count_12m,float64,0,0.0
crazy_purchases_goods_count_6m,float64,1,1.4555426335715086e-06
disc_sum_6m_g34,float64,3115,0.00453401530357525
food_share_15d,float64,0,0.0
food_share_1m,float64,0,0.0
gender,object,8581,0.012490011338677116
k_var_cheque_15d,float64,136693,0.19896248921079024
k_var_cheque_3m,float64,102262,0.1488467007942896
k_var_cheque_category_width_15d,float64,136693,0.19896248921079024
k_var_cheque_group_width_15d,float64,136693,0.19896248921079024
k_var_count_per_cheque_15d_g24,float64,442121,0.643525964697269
k_var_count_per_cheque_15d_g34,float64,468551,0.681995956502564
k_var_count_per_cheque_1m_g24,float64,363954,0.5297505636588848
k_var_count_per_cheque_1m_g27,float64,370841,0.5397748857762918
k_var_count_per_cheque_1m_g34,float64,385078,0.5604974462504494
k_var_count_per_cheque_1m_g44,float64,383315,0.5579313245874629
k_var_count_per_cheque_1m_g49,float64,414473,0.6032831219642839
k_var_count_per_cheque_3m_g24,float64,232790,0.3388357696691115
k_var_count_per_cheque_3m_g27,float64,233316,0.3396013850943701
k_var_count_per_cheque_3m_g32,float64,211784,0.30826064110830836
k_var_count_per_cheque_3m_g34,float64,235889,0.3433464962905496
k_var_count_per_cheque_3m_g41,float64,244817,0.35634158092307605
k_var_count_per_cheque_3m_g44,float64,244318,0.35561526514892383
k_var_count_per_cheque_6m_g24,float64,143052,0.20821828481767146
k_var_count_per_cheque_6m_g27,float64,144616,0.21049475349657729
k_var_count_per_cheque_6m_g32,float64,138801,0.20203077308235898
k_var_count_per_cheque_6m_g44,float64,156127,0.22724950475161892
k_var_days_between_visits_15d,float64,76954,0.11200982782386187
k_var_days_between_visits_1m,float64,91886,0.13374399042835164
k_var_days_between_visits_3m,float64,90414,0.13160143167173438
k_var_disc_per_cheque_15d,float64,136582,0.1988009239784638
k_var_disc_share_12m_g32,float64,132528,0.1929001541419649
k_var_disc_share_15d_g24,float64,442054,0.6434284433408197
k_var_disc_share_15d_g34,float64,468467,0.681873690921344
