feature,importance,std,test_rows
sale_count_12m_g57,0.020830102420765932,0.008597468103980946,5000
k_var_count_per_cheque_15d_g34,0.018009881105329677,0.004601849266721072,5000
stdev_discount_depth_1m,0.017814804534068914,0.0022681341756104418,5000
stdev_discount_depth_15d,0.01604565839539206,0.005047230819691101,5000
sale_count_12m_g49,0.015504539220709981,0.0010448837980693404,5000
k_var_disc_share_3m_g46,0.012155309368871221,0.0033413661961785683,5000
k_var_count_per_cheque_6m_g24,0.011949395616992079,0.00291827478242245,5000
k_var_disc_share_15d_g49,0.011442620637053537,0.00500655012340949,5000
k_var_cheque_15d,0.011396609659256594,0.0030383339429944376,5000
food_share_1m,0.010652974363257515,0.001478269221324924,5000
k_var_disc_share_6m_g44,0.00909034894176266,0.004054728983294132,5000
k_var_disc_share_3m_g26,0.008779243110949379,0.009409211705280005,5000
sale_count_3m_g24,0.0080291230899253,0.0038582624228992563,5000
cheque_count_6m_g79,0.007911172392546835,0.005230094624420126,5000
sale_sum_3m_g33,0.0074698232151074765,0.0026645436148663567,5000
k_var_disc_share_6m_g32,0.00746420688776882,0.00039705790942392845,5000
sale_count_3m_g33,0.006916138395368569,0.0007474904795091949,5000
k_var_disc_share_1m_g34,0.00679089483730667,0.0012436730335469782,5000
k_var_disc_share_6m_g49,0.006581153976920065,0.0014839175486049251,5000
sale_count_6m_g24,0.006515698188088788,0.003306665608089046,5000
k_var_disc_share_1m_g40,0.006444059806086863,0.0012294882903781503,5000
cheque_count_3m_g52,0.006351772400901246,0.003088003494179378,5000
k_var_disc_per_cheque_15d,0.006211868507630632,0.0007638131593841517,5000
k_var_count_per_cheque_3m_g44,0.006081979965680109,0.0022765446146030956,5000
k_var_count_per_cheque_1m_g24,0.005874958038270814,0.0005860183631228517,5000
crazy_purchases_cheque_count_12m,0.005799533759963768,0.0028201349269976928,5000
disc_sum_6m_g34,0.005421158375194114,0.005783813281464437,5000
k_var_days_between_visits_15d,0.005318025106064145,0.015877925328203993,5000
cheque_count_12m_g48,0.005282046088637094,0.00784082998002767,5000
cheque_count_12m_g46,0.005057953793268853,0.004747686154148188,5000
crazy_purchases_goods_count_6m,0.004976405821332732,0.006910114552933539,5000
sale_sum_12m_g54,0.0047480323966286415,0.0017742918117822726,5000
k_var_count_per_cheque_1m_g34,0.004445619724849898,0.0015777957984220764,5000
k_var_disc_share_3m_g49,0.004438673262779347,0.0008752785854545059,5000
k_var_count_per_cheque_1m_g44,0.004417521816923666,0.0022297669663298427,5000
age,0.004069845083515766,0.0030803445778318237,5000
sale_sum_6m_g54,0.00400024737955379,0.002849826070415887,5000
k_var_count_per_cheque_1m_g49,0.0039851093042425996,0.005911571863922586,5000
sale_sum_6m_g26,0.0039020861280995808,0.0007660131726535305,5000
k_var_disc_share_6m_g34,0.003807785109769049,0.001081263090287501,5000
k_var_disc_share_3m_g54,0.0037210165678916627,0.0038728863986162267,5000
sale_count_12m_g33,0.003664496042418331,0.0023623261982413132,5000
cheque_count_3m_g79,0.0035050421312505706,0.0011409624162211065,5000
k_var_disc_share_6m_g24,0.0034961045591373357,0.0010584993416710429,5000
k_var_discount_depth_1m,0.0034344799801553708,0.0012173920672173381,5000
k_var_disc_share_15d_g34,0.0032189079629849995,0.0009308166420088563,5000
cheque_count_3m_g56,0.003099059329163598,0.0007183522260046372,5000
k_var_sku_price_3m_g44,0.0029912798072566937,0.0013358652951670556,5000
sale_sum_12m_g27,0.0029665444113508555,0.0070943778451185305,5000
k_var_sku_price_3m_g34,0.0029271236403371043,0.00041135583864519275,5000
k_var_disc_share_3m_g38,0.002902462735469647,0.000878287729594109,5000
communication_response,0.0028337699626079793,0.0012294658101642273,5000
cheque_count_12m_g79,0.0028218648098188976,0.0027186121864043785,5000
k_var_sku_price_3m_g54,0.002714827899942443,0.00199078355203426,5000
k_var_disc_share_3m_g33,0.002699412833637211,0.001908322697736671,5000
cheque_count_3m_g20,0.002581293628593324,0.002847222236316541,5000
food_share_15d,0.0024447710037748976,0.001077403011006814,5000
sale_sum_12m_g32,0.0024431142203745967,0.003035293164545009,5000
k_var_sku_price_3m_g46,0.002210316918410171,0.001633138472120018,5000
k_var_sku_price_1m_g54,0.0021951791871972514,0.0006822526947684739,5000
k_var_sku_price_3m_g27,0.0021912978357383575,0.0003591694077800997,5000
cheque_count_12m_g45,0.002172893770823789,0.00010295618637750563,5000
k_var_disc_share_12m_g32,0.002132653988160054,0.0016073721288497385,5000
cheque_count_6m_g56,0.0021102510499950828,8.3376946914517e-05,5000
cheque_count_6m_g46,0.0020978249530717356,0.0008025807729275229,5000
k_var_sku_price_6m_g49,0.0020573290962637553,0.0015020358885978191,5000
k_var_sku_price_12m_g32,0.002014292248451658,0.0009349552939186554,5000
k_var_sku_price_3m_g26,0.0020107270225084733,0.00020911472230426592,5000
k_var_disc_share_3m_g24,0.0020021931250457786,0.002358356734455842,5000
k_var_count_per_cheque_15d_g24,0.0019577672904557953,0.002383672824798124,5000
k_var_sku_price_6m_g27,0.0017825592570336242,0.002301415090393222,5000
k_var_discount_depth_15d,0.001724970901097742,0.003920177709294663,5000
k_var_sku_price_3m_g49,0.001715686703910572,0.0019180612205822807,5000
k_var_count_per_cheque_3m_g34,0.0017105045262345506,8.980788120840634e-05,5000
sale_sum_12m_g25,0.0016291509713360862,0.002587661578870495,5000
cheque_count_3m_g45,0.0016204825112269932,0.002068912451417204,5000
sale_sum_3m_g24,0.001583917737660571,0.0013847996580429224,5000
k_var_sku_price_1m_g34,0.0015651772173923713,0.00039458874804993777,5000
crazy_purchases_cheque_count_6m,0.001479363962321537,0.00360301522457467,5000
k_var_sku_price_1m_g27,0.001448974934582845,0.0027434882876494053,5000
crazy_purchases_cheque_count_1m,0.0014477157655425714,0.0028158490719562075,5000
k_var_disc_share_1m_g27,0.0013495893791795218,0.002304603517906436,5000
